Show,Gross ,Capacity 
Aladdin,1586333,99
An Act of God,328145,64
An American In Paris,696523,59
Beautiful,873760,93
Bright Star,549237,85
Chicago,521971,73
Eclipsed,481728,89
Fiddler on the Roof,869484,76
Finding Neverland,591700,65
Fully Committed,417308,70
Fun Home,313556,80
Hamilton,2026838,102
Jersey Boys,534079,61
Kinky Boots,644007,61
Les Miserables,813319,85
Long Day's Journey Into Night,491524,100
Matilda,831317,90
On Your Feet!,840804,63
Paramour,971039,68
School of Rock,1170683,94
She Loves Me,655358,96
Shuffle Along,973686,99
Something Rotten!,643101,65
The Book of Mormon,1371176,103
The Color Purple,560484,77
The Crucible,505542,84
The Curious Incident of the Dog in the Night-Time,393373,66
The Father,364765,91
The Humans,563565,99
The King and I,676588,89
The Lion King,2106410,100
The Phantom of the Opera,958711,82
Waitress,1084775,101
Wicked,1818372,97
