Show,Nominations
A View From The Bridge,5
An Act of God,0
Allegiance,0
Amazing Grace,0
American Psycho,2
Blackbird,3
Bright Star,5
China Doll,0
Dames At Sea,1
Disaster,1
Eclipsed,6
Fiddler On The Roof,3
Fool For Love,0
Fully Committed,0
Hamilton,16
Hughie,1
King Charles III,5
Long Day's Journey Into Night,7
Misery,1
Noises Off,5
Old Times,0
On Your Feet,1
Our Mother's Brief Affair,0
School of Rock,4
She Loves Me,8
Shuffle Along,10
Spring Awakening,3
Sylvia,0
The Color Purple,4
The Crucible,4
The Father,2
The Gin Game,0
The Humans,6
Therese Raquin,1
Tuck Everlasting,1
Waitress,4
