Week_End,Grosses,Category
04/07/2019,7307835,1
04/14/2019,7771565,1
04/21/2019,8426922,1
04/28/2019,8697531,1
05/05/2019,8449682,1
05/12/2019,8887113,1
05/19/2019,8811825,1
05/26/2019,8933302,1
06/02/2019,8267282,1
06/09/2019,8572970,1
06/16/2019,8940322,1
06/23/2019,9222580,1
06/30/2019,9205929,1
04/07/2019,6125396,2
04/14/2019,6412010,2
04/21/2019,6539583,2
04/28/2019,7050025,2
05/05/2019,5814628,2
05/12/2019,6605620,2
05/19/2019,6303044,2
05/26/2019,6408847,2
06/02/2019,5984847,2
06/09/2019,6665185,2
06/16/2019,5345462,2
06/23/2019,5265273,2
06/30/2019,4948387,2
