Show,Grosses,,,,
American Psycho,2109892,,,,
Blackbird,1636515,,,,
Bright Star,1539834,,,,
Disaster,1090546,,,,
Eclipsed,1088029,,,,
Fiddler On The Roof,3091424,,,,
Fully Committed,1516008,,,,
Hamilton,7124057,,,,
Long Day's Journey Into Night,1466056,,,,
On Your Feet,3549281,,,,
School of Rock,4011436,,,,
She Loves Me,2219450,,,,
Shuffle Along,3156417,,,,
The Color Purple,3039651,,,,
The Crucible,2715866,,,,
The Father,1022978,,,,
The Humans,1575825,,,,
Tuck Everlasting,1335906,,,,
Waitress,3472700,,,,
